Name:                           CortexSubcortex_ColeAnticevic_NetPartition_wSubcorGSR_parcels_R.dlabel.nii
Type:                           CIFTI - Dense Label
Structure:                      CortexLeft CortexRight 
Data Size:                      365.13 Kilobytes
Maps to Surface:                true
Maps to Volume:                 true
Maps with LabelTable:           true
Maps with Palette:              false
Number of Maps:                 1
Number of Rows:                 91282
Number of Columns:              1
Volume Dim[0]:                  91
Volume Dim[1]:                  109
Volume Dim[2]:                  91
Palette Type:                   None
CIFTI Dim[0]:                   1
CIFTI Dim[1]:                   91282
ALONG_ROW map type:             LABELS
ALONG_COLUMN map type:          BRAIN_MODELS
    Has Volume Data:            true
    Volume Dims:                91,109,91
    Volume Space:               -2,0,0,90;0,2,0,-126;0,0,2,-72
    CortexLeft:                 29696 out of 32492 vertices
    CortexRight:                29716 out of 32492 vertices
    AccumbensLeft:              135 voxels
    AccumbensRight:             140 voxels
    AmygdalaLeft:               315 voxels
    AmygdalaRight:              332 voxels
    BrainStem:                  3472 voxels
    CaudateLeft:                728 voxels
    CaudateRight:               755 voxels
    CerebellumLeft:             8709 voxels
    CerebellumRight:            9144 voxels
    DiencephalonVentralLeft:    706 voxels
    DiencephalonVentralRight:   712 voxels
    HippocampusLeft:            764 voxels
    HippocampusRight:           795 voxels
    PallidumLeft:               297 voxels
    PallidumRight:              260 voxels
    PutamenLeft:                1060 voxels
    PutamenRight:               1010 voxels
    ThalamusLeft:               1288 voxels
    ThalamusRight:              1248 voxels

Map   Map Name   
  1   INDEXMAX   

Label table for ALL maps
         KEY   NAME                                       RED   GREEN    BLUE   ALPHA   
           0   ???                                      1.000   1.000   1.000   0.000   
           1   Visual                                   0.000   0.000   1.000   1.000   
           2   Visual2                                  0.392   0.000   1.000   1.000   
           3   Visual2_1                                0.392   0.000   1.000   1.000   
           4   Visual2_2                                0.392   0.000   1.000   1.000   
           5   Visual2_3                                0.392   0.000   1.000   1.000   
           6   Visual2_4                                0.392   0.000   1.000   1.000   
           7   Visual2_5                                0.392   0.000   1.000   1.000   
           8   Somatomotor                              0.000   1.000   1.000   1.000   
           9   Somatomotor_1                            0.000   1.000   1.000   1.000   
          10   Cingulo-Opercular                        0.600   0.000   0.600   1.000   
          11   Cingulo-Opercular_1                      0.600   0.000   0.600   1.000   
          12   Language                                 0.000   0.608   0.608   1.000   
          13   Visual2_6                                0.392   0.000   1.000   1.000   
          14   Frontoparietal                           1.000   1.000   0.000   1.000   
          15   Frontoparietal_1                         1.000   1.000   0.000   1.000   
          16   Visual2_7                                0.392   0.000   1.000   1.000   
          17   Visual2_8                                0.392   0.000   1.000   1.000   
          18   Visual2_9                                0.392   0.000   1.000   1.000   
          19   Visual2_10                               0.392   0.000   1.000   1.000   
          20   Visual2_11                               0.392   0.000   1.000   1.000   
          21   Visual2_12                               0.392   0.000   1.000   1.000   
          22   Visual2_13                               0.392   0.000   1.000   1.000   
          23   Visual2_14                               0.392   0.000   1.000   1.000   
          24   Auditory                                 0.980   0.243   0.984   1.000   
          25   Cingulo-Opercular_2                      0.600   0.000   0.600   1.000   
          26   Language_1                               0.000   0.608   0.608   1.000   
          27   Posterior Multimodal                     0.694   0.349   0.157   1.000   
          28   Posterior Multimodal_1                   0.694   0.349   0.157   1.000   
          29   Frontoparietal_2                         1.000   1.000   0.000   1.000   
          30   Default                                  1.000   0.000   0.000   1.000   
          31   Default_1                                1.000   0.000   0.000   1.000   
          32   Default_2                                1.000   0.000   0.000   1.000   
          33   Default_3                                1.000   0.000   0.000   1.000   
          34   Default_4                                1.000   0.000   0.000   1.000   
          35   Default_5                                1.000   0.000   0.000   1.000   
          36   Somatomotor_2                            0.000   1.000   1.000   1.000   
          37   Cingulo-Opercular_3                      0.600   0.000   0.600   1.000   
          38   Cingulo-Opercular_4                      0.600   0.000   0.600   1.000   
          39   Somatomotor_3                            0.000   1.000   1.000   1.000   
          40   Somatomotor_4                            0.000   1.000   1.000   1.000   
          41   Somatomotor_5                            0.000   1.000   1.000   1.000   
          42   Somatomotor_6                            0.000   1.000   1.000   1.000   
          43   Cingulo-Opercular_5                      0.600   0.000   0.600   1.000   
          44   Cingulo-Opercular_6                      0.600   0.000   0.600   1.000   
          45   Cingulo-Opercular_7                      0.600   0.000   0.600   1.000   
          46   Dorsal Attention                         0.000   1.000   0.000   1.000   
          47   Somatomotor_7                            0.000   1.000   1.000   1.000   
          48   Visual2_15                               0.392   0.000   1.000   1.000   
          49   Visual2_16                               0.392   0.000   1.000   1.000   
          50   Dorsal Attention_1                       0.000   1.000   0.000   1.000   
          51   Somatomotor_8                            0.000   1.000   1.000   1.000   
          52   Somatomotor_9                            0.000   1.000   1.000   1.000   
          53   Somatomotor_10                           0.000   1.000   1.000   1.000   
          54   Somatomotor_11                           0.000   1.000   1.000   1.000   
          55   Somatomotor_12                           0.000   1.000   1.000   1.000   
          56   Somatomotor_13                           0.000   1.000   1.000   1.000   
          57   Cingulo-Opercular_8                      0.600   0.000   0.600   1.000   
          58   Frontoparietal_3                         1.000   1.000   0.000   1.000   
          59   Cingulo-Opercular_9                      0.600   0.000   0.600   1.000   
          60   Cingulo-Opercular_10                     0.600   0.000   0.600   1.000   
          61   Default_6                                1.000   0.000   0.000   1.000   
          62   Frontoparietal_4                         1.000   1.000   0.000   1.000   
          63   Frontoparietal_5                         1.000   1.000   0.000   1.000   
          64   Default_7                                1.000   0.000   0.000   1.000   
          65   Default_8                                1.000   0.000   0.000   1.000   
          66   Default_9                                1.000   0.000   0.000   1.000   
          67   Default_10                               1.000   0.000   0.000   1.000   
          68   Default_11                               1.000   0.000   0.000   1.000   
          69   Default_12                               1.000   0.000   0.000   1.000   
          70   Default_13                               1.000   0.000   0.000   1.000   
